时间,地点,对阵/赛果,性质,主教练
1988.12.04,,中国3-0叙利亚,亚洲杯,
1988.09.21,,中国0-0突尼斯,奥运会,
1988.09.19,,瑞典2-0中国,奥运会,
1988.09.17,,德国3-0中国,奥运会,
1988.08.15,,中国1-0澳大利亚,友谊赛,
1988.08.05,,中国2-2澳大利亚,友谊赛,
1988.06.02,,日本0-3中国,友谊赛,
1988.02.16,,中国1-1印度,亚洲杯预选赛,
1988.02.14,,中国5-0泰国,亚洲杯预选赛,
1988.02.10,,阿联酋0-0中国,亚洲杯预选赛,
1988.02.08,,中国4-0孟加拉国,亚洲杯预选赛,
1988.02.05,,中国0-0也门,亚洲杯预选赛,
1987.10.26,,日本0-2中国,奥运会预选赛亚洲区,
1987.10.18,,中国2-0泰国,奥运会预选赛亚洲区,
1987.10.11,,泰国0-1中国,奥运会预选赛亚洲区,
1987.10.04,,中国0-1日本,奥运会预选赛亚洲区,
1987.09.26,,中国12-0尼泊尔,奥运会预选赛亚洲区,
1987.09.23,,中国8-0尼泊尔,奥运会预选赛亚洲区,
1987.05.20,,中国1-0中国香港,奥运会预选赛亚洲区,
1987.04.19,,中国香港0-0中国,奥运会预选赛亚洲区,
1987.04.13,,菲律宾0-10中国,奥运会预选赛亚洲区,
1987.04.10,,中国8-0菲律宾,奥运会预选赛亚洲区,
1987.03.17,,墨西哥3-2中国,友谊赛,
1986.12.10,,尼泊尔0-3中国,友谊赛,
1986.12.04,,中国3-0马来西亚,友谊赛,
1986.12.02,,韩国0-0中国,友谊赛,
1986.11.23,,中国0-2澳大利亚,友谊赛,
1986.10.01,,科威特1-1中国,亚运会,
1986.09.28,,韩国4-2中国,亚运会,
1986.09.22,,中国2-1印度,亚运会,
1986.09.20,,中国5-1巴林,亚运会,
1986.09.06,,中国2-1朝鲜,友谊赛,
1986.09.03,,新加坡1-2中国,友谊赛,
1986.09.01,,新加坡0-3中国,友谊赛,
1986.08.30,,中国1-0加拿大,友谊赛,
1986.08.28,,中国4-0马来西亚,友谊赛,
1986.08.26,,中国3-0印度尼西亚,友谊赛,
1986.08.24,,朝鲜0-0中国,友谊赛,
1986.06.14,,尼泊尔1-3中国,友谊赛,
1986.06.10,,尼泊尔1-3中国,友谊赛,
1986.05.28,,中国2-1伊朗,友谊赛,
1986.05.11,,意大利2-0中国,友谊赛,
1986.03.12,,泰国0-1中国,友谊赛,
1986.02.02,,俄罗斯1-0中国,友谊赛,
1986.01.31,,中国1-0民主德国,友谊赛,
1986.01.28,,中国3-1秘鲁,友谊赛,
1986.01.24,,印度0-0中国,友谊赛,
1986.01.21,,俄罗斯0-0中国,友谊赛,
1986.01.18,,中国2-1韩国,友谊赛,
1985.09.27,,澳大利亚3-0中国,友谊赛,
1985.09.25,,澳大利亚1-1中国,友谊赛,
1985.09.23,,澳大利亚2-0中国,友谊赛,
1985.09.19,,巴布亚1-1中国,友谊赛,
1985.09.16,,巴布亚1-4中国,友谊赛,
1985.05.19,,中国1-2中国香港,世界杯预选赛亚洲区,
1985.05.12,,中国6-0中国澳门,世界杯预选赛亚洲区,
1985.03.01,,中国4-0文莱,世界杯预选赛亚洲区,
1985.02.26,,中国8-0文莱,世界杯预选赛亚洲区,
1985.02.20,,中国澳门0-4中国,世界杯预选赛亚洲区,
1985.02.17,,中国香港0-0中国,世界杯预选赛亚洲区,
1985.01.29,,塞尔维亚1-1中国,友谊赛,
1985.01.24,,伊朗4-0中国,友谊赛,
1985.01.21,,俄罗斯3-2中国,友谊赛,
1984.12.16,,沙特阿拉伯2-0中国,亚洲杯,
1984.12.14,,中国1-0科威特,亚洲杯,
1984.12.11,,中国5-0阿联酋,亚洲杯,
1984.12.08,,中国3-0印度,亚洲杯,
1984.12.05,,新加坡0-2中国,亚洲杯,
1984.12.03,,伊朗2-0中国,亚洲杯,
1984.11.03,,中国3-2澳大利亚,友谊赛,
1984.09.20,,中国1-0卡塔尔,亚洲杯预选赛,
1984.09.17,,中国2-0中国香港,亚洲杯预选赛,
1984.09.15,,中国6-0约旦,亚洲杯预选赛,
1984.09.12,,中国6-0阿富汗,亚洲杯预选赛,
1984.08.01,,罗马尼亚1-0中国,友谊赛,
1984.07.29,,罗马尼亚4-2中国,友谊赛,
1984.07.04,,中国1-0伊朗,友谊赛,
1984.06.27,,中国5-1加拿大,友谊赛,
1984.06.21,,中国2-0印度,友谊赛,
1984.06.03,,爱尔兰1-0中国,友谊赛,
1984.05.31,,日本1-0中国,友谊赛,
1984.01.27,,波兰1-0中国,友谊赛,
1984.01.25,,印度0-3中国,友谊赛,
1984.01.20,,中国1-0阿根廷,友谊赛,
1984.01.15,,波兰1-0中国,友谊赛,
1983.12.14,,新加坡1-0中国,友谊赛,
1983.12.04,,中国2-1澳大利亚,友谊赛,
1983.11.12,,中国3-1中国香港,奥运会预选赛亚洲区,
1983.11.10,,泰国1-0中国,奥运会预选赛亚洲区,
1983.11.08,,韩国0-0中国,奥运会预选赛亚洲区,
1983.11.05,,泰国0-0中国,奥运会预选赛亚洲区,
1983.11.03,,韩国3-3中国,奥运会预选赛亚洲区,
1983.11.01,,中国4-0中国香港,奥运会预选赛亚洲区,
1983.07.20,,中国2-1泰国,友谊赛,
1982.11.27,,朝鲜1-0中国,亚运会,
1982.11.24,,印度2-2中国,亚运会,
1982.11.22,,中国1-0孟加拉国,亚运会,
1982.11.20,,中国1-0马来西亚,亚运会,
1982.07.23,,中国3-3摩洛哥,友谊赛,
1982.07.21,,中国2-0中国香港,友谊赛,
1982.06.26,,突尼斯1-2中国,友谊赛,
1982.06.22,,突尼斯1-0中国,友谊赛,
1982.06.06,,列支敦士登2-0中国,友谊赛,
1982.03.04,,乌拉圭2-0中国,友谊赛,
1982.03.01,,韩国1-1中国,友谊赛,
1982.02.22,,乌拉圭0-0中国,友谊赛,
1982.02.16,,印度1-1中国,友谊赛,
1982.01.10,,新西兰2-1中国,世界杯预选赛亚洲区,
1981.11.30,,科威特1-0中国,世界杯预选赛亚洲区,
1981.11.19,,中国2-0沙特阿拉伯,世界杯预选赛亚洲区,
1981.11.12,,中国4-2沙特阿拉伯,世界杯预选赛亚洲区,
1981.10.18,,中国3-0科威特,世界杯预选赛亚洲区,
1981.10.03,,新西兰1-0中国,世界杯预选赛亚洲区,
1981.09.24,,中国0-0新西兰,世界杯预选赛亚洲区,
1981.06.02,,日本0-0中国,友谊赛,
1981.01.04,,中国4-2朝鲜,世界杯预选赛亚洲区,
1980.12.31,,中国香港0-0中国,世界杯预选赛亚洲区,
1980.12.26,,中国1-0日本,世界杯预选赛亚洲区,
1980.12.24,,中国3-0中国澳门,世界杯预选赛亚洲区,
1980.12.21,,中国香港0-1中国,世界杯预选赛亚洲区,
1980.12.05,,阿尔及利亚4-1中国,友谊赛,
1980.09.25,,中国6-0孟加拉国,亚洲杯,
1980.09.23,,叙利亚1-0中国,亚洲杯,
1980.09.20,,伊朗2-2中国,亚洲杯,
1980.09.18,,朝鲜2-1中国,亚洲杯,
1980.06.14,,中国7-0中国香港,友谊赛,
1980.06.12,,中国1-0日本,友谊赛,
1980.03.16,,马来西亚3-1中国,友谊赛,
1980.03.08,,新加坡1-0中国,奥运会预选赛亚洲区,
1980.03.06,,中国7-0斯里兰卡,奥运会预选赛亚洲区,
1980.03.02,,中国1-1朝鲜,奥运会预选赛亚洲区,
1980.02.27,,中国2-2伊朗,奥运会预选赛亚洲区,
1980.02.24,,中国1-0印度,奥运会预选赛亚洲区,
1978.12.29,,韩国1-0中国,亚洲杯预选赛,
1978.12.25,,中国2-1中国澳门,亚洲杯预选赛,
1978.12.23,,菲律宾0-5中国,亚洲杯预选赛,
1978.12.19,,中国1-0伊拉克,亚运会,
1978.12.16,,泰国1-4中国,亚运会,
1978.12.14,,中国7-1马来西亚,亚运会,
1978.12.12,,韩国1-0中国,亚运会,
1978.12.09,,中国3-0卡塔尔,亚运会,
1978.12.07,,伊拉克2-0中国,亚运会,
1978.12.05,,中国1-0沙特阿拉伯,亚运会,
1978.04.22,,秘鲁2-1中国,友谊赛,
1978.03.30,,委内瑞拉0-1中国,友谊赛,
1977.10.31,,牙买加0-3中国,友谊赛,
1977.10.23,,牙买加0-1中国,友谊赛,
1977.10.16,,美国2-1中国,友谊赛,
1977.10.10,,美国1-0中国,友谊赛,
1977.10.06,,美国1-1中国,友谊赛,
1977.09.14,,中国5-2泰国,友谊赛,
1977.08.27,,中国1-2中国香港,友谊赛,
1977.08.25,,中国3-2摩洛哥,友谊赛,
1977.08.17,,中国3-2民主刚果,友谊赛,
1977.02.27,,博茨瓦纳0-2中国,友谊赛,
1976.10.29,,中国0-2澳大利亚,友谊赛,
1976.10.27,,中国4-5澳大利亚,友谊赛,
1976.06.13,,中国1-0伊拉克,亚洲杯,
1976.06.10,,伊朗2-0中国,亚洲杯,
1976.06.07,,科威特1-0中国,亚洲杯,
1976.06.05,,中国1-1马来西亚,亚洲杯,
1976.05.06,,中国2-0马来西亚,友谊赛,
1975.10.19,,中国2-1新西兰,友谊赛,
1975.08.14,,中国3-3科威特,友谊赛,
1975.08.06,,澳大利亚1-0中国,友谊赛,
1975.07.28,,斐济1-4中国,友谊赛,
1975.07.26,,新西兰2-0中国,友谊赛,
1975.07.23,,新西兰2-2中国,友谊赛,
1975.07.20,,新西兰2-1中国,友谊赛,
1975.07.03,,中国2-2泰国,友谊赛,
1975.06.26,,朝鲜2-0中国,亚洲杯预选赛,
1975.06.23,,中国2-1日本,亚洲杯预选赛,
1975.06.21,,中国香港0-1中国,亚洲杯预选赛,
1975.06.19,,中国10-1文莱,亚洲杯预选赛,
1975.06.15,,中国1-0朝鲜,亚洲杯预选赛,
1975.05.23,,中国6-2赤道几内亚,友谊赛,
1975.05.02,,中国1-0新加坡,友谊赛,
1974.11.03,,新加坡1-1中国,友谊赛,
1974.09.06,,伊拉克1-0中国,亚运会,
1974.09.04,,中国7-1印度,亚运会,
1974.09.02,,朝鲜2-0中国,亚运会,
1974.08.11,,中国5-2塞内加尔,友谊赛,
1974.07.10,,中国6-5也门,友谊赛,
1974.05.05,,中国4-1塞拉利昂,友谊赛,
1973.11.07,,阿尔巴尼亚1-1中国,友谊赛,
1973.08.03,,中国5-2几内亚,友谊赛,
1973.06.17,,中国7-4索马里,友谊赛,
1973.06.10,,中国7-4巴基斯坦,友谊赛,
1972.11.29,,塞内加尔0-0中国,友谊赛,
1972.11.24,,几内亚1-1中国,友谊赛,
1972.10.13,,中国6-2尼泊尔,友谊赛,
1972.09.12,,斯里兰卡0-1中国,友谊赛,
1972.09.03,,斯里兰卡2-3中国,友谊赛,
1972.01.20,,也门2-4中国,友谊赛,
1972.01.18,,索马里1-3中国,友谊赛,
1972.01.01,,赞比亚3-3中国,友谊赛,
1971.12.12,,坦桑尼亚3-4中国,友谊赛,
1971.12.09,,坦桑尼亚1-1中国,友谊赛,
1971.05.21,,中国0-1古巴,友谊赛,
1966.12.03,,朝鲜2-1中国,新兴力量运动会,
1966.12.01,,柬埔寨0-4中国,新兴力量运动会,
1966.11.28,,中国2-0越南,新兴力量运动会,
1966.11.26,,中国6-0也门,新兴力量运动会,
1966.11.24,,中国7-0巴勒斯坦,新兴力量运动会,
1966.08.28,,中国4-0马里,友谊赛,
1966.07.23,,中国6-0叙利亚,友谊赛,
1966.06.28,,中国10-4坦桑尼亚,友谊赛,
1965.08.11,,中国3-1柬埔寨,新兴力量运动会,
1965.08.09,,中国3-0印度尼西亚,新兴力量运动会,
1965.08.07,,中国2-0几内亚,新兴力量运动会,
1965.08.03,,越南3-3中国,新兴力量运动会,
1965.08.01,,朝鲜3-0中国,新兴力量运动会,
1963.11.03,,印度尼西亚1-1中国,新兴力量运动会,
1963.11.01,,中国1-3马里,新兴力量运动会,
1963.09.04,,中国4-0缅甸,友谊赛,
1963.05.03,,印度尼西亚1-2中国,友谊赛,
1963.04.30,,埃及2-0中国,友谊赛,
1963.04.27,,中国6-0柬埔寨,友谊赛,
1963.04.25,,中国1-0越南,友谊赛,
1963.02.07,,巴基斯坦0-2中国,友谊赛,
1963.02.03,,巴基斯坦1-1中国,友谊赛,
1963.01.30,,巴基斯坦3-2中国,友谊赛,
1963.01.26,,巴基斯坦0-0中国,友谊赛,
1963.01.20,,缅甸2-1中国,友谊赛,
1963.01.14,,缅甸0-3中国,友谊赛,
1960.12.11,,越南3-4中国,友谊赛,
1960.12.07,,中国6-1蒙古,友谊赛,
1960.12.04,,中国1-0朝鲜,友谊赛,
1959.10.28,,中国0-2越南,友谊赛,
1959.10.25,,朝鲜1-0中国,友谊赛,
1959.10.03,,中国0-1俄罗斯,友谊赛,
1957.09.15,,中国3-2阿尔巴尼亚,友谊赛,
1957.06.27,,缅甸2-1中国,友谊赛,
1957.06.23,,印度尼西亚0-0中国,世界杯预选赛亚洲区,
1957.06.02,,中国4-3印度尼西亚,世界杯预选赛亚洲区,
1957.05.12,,印度尼西亚2-0中国,世界杯预选赛亚洲区,
1956.10.07,,中国0-1朝鲜,友谊赛,
1956.10.04,,中国5-3越南,友谊赛,
1956.06.25,,缅甸2-3中国,友谊赛,
1956.06.17,,印度0-1中国,友谊赛,
1952.08.04,,芬兰4-0中国,友谊赛,
1936.08.06,,英格兰业余队2-0中国,奥运会,
